client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
11529,0,1,1,1,1,1,1,1,1,1,1
11529,0,1,1,1,1,1,1,1,1,1,1
11532,1,1,1,1,1,1,1,1,1,1,1
11535,0,0,1,0,0,0,0,1,1,1,1
11536,0,0,1,1,1,1,1,1,1,1,1
11537,0,0,1,1,1,1,1,1,1,1,1
11538,0,0,1,0,0,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11547,1,1,1,1,1,1,1,1,1,1,1
11550,1,1,1,1,1,1,1,1,1,1,1
11555,0,1,1,0,0,1,1,1,1,1,1
11558,0,1,1,1,1,1,1,1,1,1,1
11562,1,1,1,1,1,1,1,1,1,1,1
11565,0,1,1,1,1,0,1,1,1,0,1
11567,1,1,1,1,1,1,1,1,1,1,1
11577,1,1,1,1,1,1,1,1,1,1,1
11579,1,1,1,1,1,1,1,1,1,1,1
11580,0,0,1,0,0,1,0,0,0,0,0
11592,0,1,1,1,1,1,1,1,1,1,1
11599,0,0,1,0,0,0,0,0,0,0,0
11602,0,1,1,1,1,1,1,1,1,1,1
11605,0,1,1,0,0,1,1,1,1,0,1
11610,1,1,1,1,1,1,1,1,1,1,1
11615,1,1,1,1,1,1,1,1,1,1,1
11618,1,1,1,1,1,0,0,0,0,0,0
11620,1,1,1,0,0,1,1,1,0,1,1
11621,1,1,1,1,1,1,1,1,1,1,1
11624,0,0,1,1,1,1,1,1,1,1,1
11628,0,1,1,1,1,1,1,1,1,1,1
11628,0,1,1,1,1,1,1,1,1,1,1
11632,0,1,1,1,1,1,1,1,1,0,0
11635,1,1,1,1,1,1,1,1,1,1,1
11646,0,1,1,1,1,1,1,1,1,1,1
11646,0,1,1,1,1,1,1,1,1,1,1
11646,0,1,1,1,1,1,1,1,1,1,1
11646,0,1,1,1,1,1,1,1,1,1,1
11649,1,1,1,1,1,1,1,1,1,1,1
11651,0,1,1,0,0,0,0,0,1,1,1
11671,0,0,1,1,1,0,0,0,0,0,0
11675,1,1,1,1,1,1,1,1,1,1,1
11683,1,1,1,1,1,1,1,1,1,1,1
